,NomeParlamentar,Partido,datEmissao,ValorLiquido,TipoDespesa
424,Fábio Trad,PSD,01/11/19,"3500,0","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS."
425,Fábio Trad,PSD,01/11/19,"8350,0",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
426,Fábio Trad,PSD,01/11/19,"354,15",FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR
427,Fábio Trad,PSD,01/11/19,"1779,04",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
428,Fábio Trad,PSD,01/11/19,"1050,46",PASSAGEM AÉREA - REEMBOLSO
429,Fábio Trad,PSD,01/11/19,"13088,9",PASSAGEM AÉREA - RPA
430,Fábio Trad,PSD,01/11/19,"155,0","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO"
431,Fábio Trad,PSD,01/11/19,"210,98000000000002",SERVIÇOS POSTAIS
432,Fábio Trad,PSD,01/11/20,"650,0",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
433,Fábio Trad,PSD,01/11/20,"68,16",FORNECIMENTO DE ALIMENTAÇÃO DO PARLAMENTAR
434,Fábio Trad,PSD,01/11/20,"1600,0",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
435,Fábio Trad,PSD,01/11/20,"4086,83",PASSAGEM AÉREA - RPA
436,Fábio Trad,PSD,01/11/20,"20,0","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO"
437,Fábio Trad,PSD,01/11/21,"2105,0",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
438,Fábio Trad,PSD,01/11/21,"34,61",SERVIÇOS POSTAIS
439,Fábio Trad,PSD,01/12/19,"420,52",COMBUSTÍVEIS E LUBRIFICANTES.
440,Fábio Trad,PSD,01/12/19,"3500,0","CONSULTORIAS, PESQUISAS E TRABALHOS TÉCNICOS."
441,Fábio Trad,PSD,01/12/19,"5250,0",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
442,Fábio Trad,PSD,01/12/19,"1500,0",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
443,Fábio Trad,PSD,01/12/19,"7421,42",PASSAGEM AÉREA - RPA
444,Fábio Trad,PSD,01/12/19,"60,0","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO"
445,Fábio Trad,PSD,01/12/19,"198,05",SERVIÇOS POSTAIS
446,Fábio Trad,PSD,01/12/20,"20,0","SERVIÇO DE TÁXI, PEDÁGIO E ESTACIONAMENTO"
447,Fábio Trad,PSD,01/12/20,"306,31",SERVIÇOS POSTAIS
448,Fábio Trad,PSD,01/12/21,"650,0",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
449,Beto Pereira,PSDB,01/01/19,"230,0",COMBUSTÍVEIS E LUBRIFICANTES.
450,Bia Cavassa,PSDB,01/01/19,"1080,74",COMBUSTÍVEIS E LUBRIFICANTES.
451,Rose Modesto,PSDB,01/01/19,"200,04000000000002",COMBUSTÍVEIS E LUBRIFICANTES.
452,Rose Modesto,PSDB,01/01/19,"15500,0",DIVULGAÇÃO DA ATIVIDADE PARLAMENTAR.
453,Beto Pereira,PSDB,01/01/19,"788,0","HOSPEDAGEM ,EXCETO DO PARLAMENTAR NO DISTRITO FEDERAL."
454,Beto Pereira,PSDB,01/01/19,"100,0",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
455,Rose Modesto,PSDB,01/01/19,"28630,0",MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR
456,Rose Modesto,PSDB,01/01/19,"5613,81",PASSAGEM AÉREA - REEMBOLSO
457,Beto Pereira,PSDB,01/01/19,"3424,93",PASSAGEM AÉREA - RPA
458,Bia Cavassa,PSDB,01/01/19,"127,8","PASSAGENS TERRESTRES, MARÍTIMAS OU FLUVIAIS"
